NUMBER,BILL_LINK,TITLE,FILED_BY,LAST_ACTION_AND_LOCATION
SB 2,https://www.flsenate.gov/Session/Bill/2019/00002,Florida Statutes,Benacquisto,Last Action: 4/4/2019  Chapter No. 2019-2
SB 4,https://www.flsenate.gov/Session/Bill/2019/00004,Florida Statutes,Benacquisto,Last Action: 4/4/2019  Chapter No. 2019-3
SB 6,https://www.flsenate.gov/Session/Bill/2019/00006,Florida Statutes,Benacquisto,Last Action: 4/4/2019  Chapter No. 2019-4
SB 8,https://www.flsenate.gov/Session/Bill/2019/00008,Florida Statutes,Benacquisto,Last Action: 4/4/2019  Chapter No. 2019-5
SB 22,https://www.flsenate.gov/Session/Bill/2019/00022,Relief of Dylan Tompkins-Holmes by the Pinellas County Sheriff’s Office,Rouson,Last Action: 11/13/2018 S Withdrawn prior to introduction -SJ 36
SB 24,https://www.flsenate.gov/Session/Bill/2019/00024,Relief of the Estate of Eric Scot Tenner by the Miami-Dade County Board of County Commissioners,Simmons,Last Action: 4/10/2019 S Placed on 3rd reading
SB 26,https://www.flsenate.gov/Session/Bill/2019/00026,Relief of Barney Brown by the State of Florida,Thurston,Last Action: 3/5/2019 S Introduced -SJ 36
SB 28,https://www.flsenate.gov/Session/Bill/2019/00028,Relief of Kareem Hawari by the Osceola County School Board,Mayfield,Last Action: 3/5/2019 S Introduced -SJ 36
SB 30,https://www.flsenate.gov/Session/Bill/2019/00030,"Relief of Carlos Ruben Suarez Diaz and his wife, Melissa Gonzalez Santiago, by the City of Homestead",Flores,Last Action: 3/4/2019 S Withdrawn prior to introduction -SJ 36
SB 32,https://www.flsenate.gov/Session/Bill/2019/00032,Relief of Dwella Nelson and Robert Nelson by Palm Beach State College,Flores,Last Action: 1/15/2019 S Withdrawn prior to introduction -SJ 36
SB 34,https://www.flsenate.gov/Session/Bill/2019/00034,Relief of Robert Alan Smith by Orange County,Torres,"Last Action: 4/10/2019 S Placed on Calendar, on 2nd reading"
SB 36,https://www.flsenate.gov/Session/Bill/2019/00036,Relief of Shuler Limited Partnership by the Florida Forest Service of the Department of Agriculture and Consumer Services,Montford,Last Action: 3/5/2019 S Introduced -SJ 36
SB 38,https://www.flsenate.gov/Session/Bill/2019/00038,Relief of Jane Doe by the School Board of Miami-Dade County,Thurston,Last Action: 4/10/2019 S Now in Rules
